"box","section","x","y","edge_edi","altitude_m","northness","no_trees_75m","pnum","area_polygon","area_polygon_sqrt"
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"20141B106",11152.9902263491,105.607718592672
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"19621B106",14738.347710181,121.401596818909
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"19701B106",11779.1764832861,108.53191458408
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"19791B106",20885.5127464437,144.518209048008
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"19671B106",11138.6772835329,105.539932175139
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"19651B106",12361.7018516818,111.183190508646
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"19841B106",63514.3786958111,252.020591809104
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20121B107",8322.15793969249,91.2258622304689
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"19891B107",9187.68007759727,95.8523869165357
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20151B107",7223.64924225584,84.9920539948049
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20111B107",7264.32975438423,85.2310375062057
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20171B107",14035.9644530723,118.473475736438
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"19871B107",7194.60021118633,84.8209892136748
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"19931B107",8429.95958718378,91.8148113714981
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20131B107",8695.04654794,93.2472334599799
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20061B107",4430.27774430299,66.5603316120269
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20011B107",17633.0513915159,132.789500305995
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20031B107",13684.1523816693,116.979281847981
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20141B107",6538.09824403282,80.858507555067
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20081B107",5711.82991154119,75.5766492479072
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"19991B107",8865.86210399028,94.1587070004165
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"19811B107",4235.44310731068,65.0802820162196
"B107","B",447777.74,207455.59,41.9153,120.446,0.612752585,10,"20051B107",2848.78803072125,53.3740389208204
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"19641B108",4236.00003105216,65.0845606196443
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"19931B108",5590.76415284351,74.7714126711774
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"19991B108",7896.52312801592,88.8623830876481
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"19881B108",4746.47156834044,68.8946410712795
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"19971B108",11162.6215968989,105.65330849954
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"20111B108",2889.49908930715,53.7540611424584
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"20211B108",15236.7228236296,123.437120930576
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"20071B108",5795.90958198812,76.1308714122472
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"20121B108",4002.10417459346,63.2621859770389
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"20031B108",4228.80728363153,65.0292802023175
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"19611B108",925.657424670644,30.4246187267917
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"20091B108",2989.7324221842,54.6784456818608
"B108","B",447807.72,207495.76,36.8232,115.469,0.871350863,13,"19831B108",4499.63615319598,67.0793273162156
"B109","B",447798.72,207514.76,51.7948,114.642,0.868955605,11,"20081B109",3987.75261252001,63.1486548749853
"B109","B",447798.72,207514.76,51.7948,114.642,0.868955605,11,"19941B109",6085.64751522406,78.0105602801573
"B109","B",447798.72,207514.76,51.7948,114.642,0.868955605,11,"19871B109",4466.46873081103,66.8316446813262
"B109","B",447798.72,207514.76,51.7948,114.642,0.868955605,11,"19841B109",6968.38826726004,83.4768726490161
"B109","B",447798.72,207514.76,51.7948,114.642,0.868955605,11,"19611B109",1694.24847072479,41.1612496254037
"B109","B",447798.72,207514.76,51.7948,114.642,0.868955605,11,"20141B109",5532.32371780835,74.3795920787977
"B109","B",447798.72,207514.76,51.7948,114.642,0.868955605,11,"19981B109",7944.30232832953,89.1308158177043
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20201B11",6973.60062316433,83.5080871722274
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19631B11",7328.13911096659,85.6045507608479
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20071B11",8021.77590279747,89.5643673722841
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19681B11",7550.97808403056,86.8963640437882
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19611B11",4584.81677139364,67.7112750684378
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20131B11",2621.8054591734,51.203568812861
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19951B11",7561.88263161667,86.9590859635534
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20191B11",9445.21368462965,97.1864892082724
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19831B11",6987.16669946723,83.5892738302423
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19751B11",10950.8457792159,104.646288893663
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19901B11",6809.96842642757,82.522532840598
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19841B11",8202.52848299593,90.5678115170943
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20151B11",4096.2975893449,64.0023248745302
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20091B11",4197.70757758478,64.7897181471318
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19941B11",6193.45818126388,78.6985271861163
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19641B11",3981.63392621931,63.1001895894086
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19871B11",4241.13962251693,65.1240326033096
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20061B11",4760.35884014517,68.9953537576638
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19881B11",3091.23875695281,55.5989096741367
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20021B11",4027.13238309696,63.4596910100968
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"19821B11",7644.0213596141,87.4300941301912
"B11","B",447748.72,207573.76,119.942,115.2,0.589262635,7,"20011B11",4821.69557476416,69.4384301000834
